,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,Leh,98,IN,1581813494,52,34.17,77.58,1.18,6.6
285,Tabas,13,IR,1581813494,31,33.6,56.92,35.6,2.24
286,Tvedestrand,100,NO,1581813494,100,58.62,8.93,46.4,34.45
287,Penzance,100,GB,1581813494,100,50.12,-5.54,55.0,44.96
288,Hobyo,78,SO,1581813494,74,5.35,48.53,77.97,17.9
289,Anadyr,100,RU,1581813494,69,64.75,177.48,-7.01,13.42
290,Blind River,90,CA,1581813494,86,46.18,-82.96,28.4,9.17
291,Port Hardy,75,CA,1581813494,80,50.7,-127.42,41.0,6.93
292,Alamosa,1,US,1581813495,16,37.47,-105.87,50.0,5.82
293,Laas,43,IT,1581813495,78,46.62,10.7,35.01,2.24
294,Camacha,20,PT,1581813495,87,33.08,-16.33,60.8,3.36
295,Belyy,77,RU,1581813495,88,55.84,32.94,30.0,8.9
296,Loandjili,40,CG,1581813495,89,-4.76,11.86,84.2,4.7
297,Vanderhoof,25,CA,1581813495,75,54.02,-124.02,33.22,7.67
298,Sur,0,OM,1581813495,52,22.57,59.53,67.03,9.82
299,Bojnourd,77,IR,1581813495,63,37.47,57.33,30.2,6.93
300,Pochutla,20,MX,1581813496,70,15.74,-96.47,86.0,11.41
301,Narsaq,91,GL,1581813496,53,60.92,-46.05,26.6,3.53
302,Bereznik,100,RU,1581813496,93,62.86,42.71,23.05,6.69
303,Tiarei,75,PF,1581813496,70,-17.53,-149.33,84.2,11.41
304,Jacksonville,40,US,1581813455,72,30.33,-81.66,62.01,12.75
305,Lebu,0,CL,1581813496,83,-37.62,-73.65,57.76,6.51
306,Tamandare,10,BR,1581813496,72,-8.76,-35.1,82.53,8.63
307,Ojinaga,1,MX,1581813496,18,29.57,-104.42,71.6,5.82
308,Newtonmore,97,GB,1581813497,80,57.07,-4.12,39.2,11.41
309,Carbonia,5,IT,1581813497,93,39.17,8.52,50.0,1.12
310,Mount Pleasant,90,US,1581813497,81,32.79,-79.86,48.99,7.38
311,Gniezno,32,PL,1581813497,81,52.53,17.58,37.99,9.17
312,Brownsville,1,US,1581813215,64,25.9,-97.5,77.0,13.87
313,George,79,ZA,1581813497,94,-33.96,22.46,68.0,3.36
314,Tanout,6,NE,1581813497,14,14.97,8.89,65.55,10.85
315,Lorengau,82,PG,1581813498,77,-2.02,147.27,83.57,13.56
316,Itimadpur,0,IN,1581813498,30,27.25,78.2,53.69,4.76
317,Bandarbeyla,73,SO,1581813498,77,9.49,50.81,75.51,14.38
318,Bathsheba,20,BB,1581813498,69,13.22,-59.52,78.8,19.46
319,Cap Malheureux,40,MU,1581813498,78,-19.98,57.61,79.0,10.29
320,Bodmin,100,GB,1581813498,100,50.47,-4.72,55.99,38.03
321,Upington,47,ZA,1581813498,61,-28.45,21.26,77.0,6.93
322,North Myrtle Beach,1,US,1581813498,65,33.82,-78.68,46.99,5.82
323,Wajima,75,JP,1581813498,93,37.4,136.9,46.4,8.05
324,Dunedin,100,NZ,1581813215,81,-45.87,170.5,64.0,3.0
325,Woodward,1,US,1581813247,46,36.43,-99.39,51.8,8.05
326,Mahebourg,40,MU,1581813499,78,-20.41,57.7,79.0,10.29
327,Pervomayskoye,100,RU,1581813499,81,43.92,46.71,38.41,14.29
328,Bentiu,3,SS,1581813499,16,9.23,29.83,79.09,3.0
329,Laguna,1,US,1581813499,48,38.42,-121.42,68.0,2.95
330,Gagnoa,0,CI,1581813499,92,6.13,-5.94,73.27,2.75
331,Nemuro,100,JP,1581813499,48,43.32,145.57,19.4,6.93
332,Vao,64,NC,1581813499,78,-22.67,167.48,79.61,18.99
333,Deer Lake,90,CA,1581813499,78,49.17,-57.43,15.8,18.34
334,Provincia di Biella,42,IT,1581813500,100,45.59,8.09,45.0,5.82
335,Lavrentiya,100,RU,1581813500,80,65.58,-171.0,-4.67,12.33
336,Bara,1,NG,1581813500,14,10.37,10.73,68.56,9.1
337,Nalut,0,LY,1581813500,71,30.33,10.85,50.43,10.25
338,Sucre,100,BO,1581813500,78,-19.03,-65.26,58.01,4.14
339,Felanitx,75,ES,1581813500,82,39.47,3.15,57.2,5.82
340,Cuenca,75,EC,1581813346,63,-2.88,-78.98,64.4,10.29
341,Itarema,96,BR,1581813501,88,-2.92,-39.92,76.1,2.77
342,Mossamedes,92,AO,1581813501,76,-15.2,12.15,74.08,4.74
343,Umm Lajj,21,SA,1581813501,42,25.02,37.27,68.95,3.18
344,Grants,1,US,1581813330,23,35.15,-107.85,51.8,9.17
345,Gummidipundi,20,IN,1581813501,88,13.4,80.15,78.01,4.65
346,Adrar,96,MR,1581813501,15,20.5,-10.07,73.31,9.62
347,Jalu,0,LY,1581813501,70,29.03,21.55,55.96,10.92
348,Adilabad,0,IN,1581813501,33,19.67,78.53,66.18,2.68
349,Praxedis Guerrero,1,MX,1581813501,22,31.37,-106.02,66.2,13.87
350,Alice Springs,0,AU,1581813243,28,-23.7,133.88,86.0,12.75
351,Haines Junction,100,CA,1581813502,95,60.75,-137.51,-8.05,5.21
352,Mvuma,25,ZW,1581813502,96,-19.28,30.53,64.33,5.19
353,Chincha Alta,61,PE,1581813502,73,-13.41,-76.13,77.0,14.99
354,Sitka,75,US,1581813502,80,57.05,-135.33,39.2,11.41
355,Tambura,65,SS,1581813502,44,5.6,27.47,79.45,2.75
356,Bogorodskoye,96,RU,1581813502,92,56.55,37.88,25.47,10.16
357,Yining,71,CN,1581813502,90,29.04,114.56,31.28,0.96
358,Bogo,16,PH,1581813502,79,11.05,124.01,79.39,9.15
359,College,20,US,1581813502,63,64.86,-147.8,-8.0,3.36
360,Ust-Nera,56,RU,1581813503,97,64.57,143.2,-28.52,2.51
361,Alyangula,40,AU,1581813365,66,-13.85,136.42,91.4,10.29
362,Cockburn Town,0,TC,1581813257,80,21.46,-71.14,77.65,15.77
363,Muli,61,MV,1581813503,78,2.92,73.57,82.47,11.34
364,Porangatu,94,BR,1581813287,89,-13.44,-49.15,74.35,0.51
365,Troitskoye,67,RU,1581813503,89,52.98,84.68,15.4,5.57
366,Xinmin,90,CN,1581813503,78,41.99,122.83,14.0,15.66
367,Puerto Madryn,81,AR,1581813503,16,-42.77,-65.04,78.64,12.86
368,Langham,90,CA,1581813504,64,52.37,-106.97,3.0,3.6
369,Cayenne,75,GF,1581813504,94,4.93,-52.33,77.0,8.05
370,Bayji,50,IQ,1581813504,47,34.93,43.49,47.03,3.02
371,Yulara,0,AU,1581813504,24,-25.24,130.99,89.6,14.99
372,Vila Franca do Campo,75,PT,1581813504,88,37.72,-25.43,62.6,19.46
373,Areka,99,ET,1581813504,61,7.07,37.7,71.98,1.07
374,Brae,99,GB,1581813504,70,60.4,-1.35,42.8,29.97
375,Sal Rei,100,CV,1581813504,73,16.18,-22.92,73.4,18.34
376,Fujin,0,CN,1581813504,92,47.26,132.03,-5.21,6.22
377,Bundaberg,40,AU,1581813505,58,-24.85,152.35,89.01,9.17
378,Cedral,80,MX,1581813505,37,23.8,-100.73,70.41,7.61
379,Tautira,75,PF,1581813505,70,-17.73,-149.15,84.2,11.41
380,Tecolutla,40,MX,1581813505,69,20.48,-97.02,75.2,5.82
381,Elizabeth City,1,US,1581813418,86,36.29,-76.25,37.4,3.36
382,Iqaluit,20,CA,1581813505,66,63.75,-68.51,-29.0,8.05
383,Praia da Vitoria,40,PT,1581813505,72,38.73,-27.07,62.6,28.61
384,Waycross,90,US,1581813505,51,31.21,-82.35,60.8,10.29
385,Takoradze,55,GH,1581813505,89,4.88,-1.76,76.96,2.77
386,Pilar,20,BR,1581813323,88,-9.6,-35.96,77.0,4.7
387,Proletarskiy,100,RU,1581813506,98,50.79,35.77,32.0,6.71
388,Zliten,0,LY,1581813506,67,32.47,14.57,57.27,6.17
389,Hofn,85,IS,1581813506,67,64.25,-15.21,41.56,31.43
390,Praia,76,CV,1581813506,29,14.92,-23.51,78.8,16.11
391,San Felipe,13,VE,1581813506,88,10.34,-68.74,71.55,2.26
392,Ciudad de Allende,75,MX,1581813397,60,25.28,-100.02,68.0,3.36
393,Saldanha,0,ZA,1581813506,77,-33.01,17.94,66.2,16.11
394,Male,20,MV,1581813506,83,4.17,73.51,82.4,11.41
395,Biltine,0,TD,1581813506,15,14.53,20.92,64.99,6.46
396,Beira,20,MZ,1581813507,83,-19.84,34.84,80.6,6.93
397,Greenwood,1,US,1581813507,70,34.17,-82.12,44.6,3.36
398,Matay,0,EG,1581813507,76,28.42,30.78,51.67,1.03
399,Sept-Iles,90,CA,1581813254,72,50.2,-66.38,15.01,5.82
400,Council Bluffs,1,US,1581813507,41,41.26,-95.86,44.6,3.36
401,Awjilah,0,LY,1581813507,70,29.11,21.29,55.96,10.92
402,Dicabisagan,46,PH,1581813507,75,17.08,122.42,75.16,3.31
403,Chapleau,90,CA,1581813507,79,47.84,-83.4,19.4,12.75
404,Savinka,67,RU,1581813507,91,50.08,47.1,22.05,4.25
405,Cairns,44,AU,1581813246,44,-16.92,145.77,95.0,4.7
406,Dharampuri,0,IN,1581813508,35,22.17,75.35,63.81,6.26
407,Bambous Virieux,40,MU,1581813508,78,-20.34,57.76,79.0,10.29
408,Fare,100,PF,1581813508,66,-16.7,-151.02,83.43,5.48
409,High Rock,90,BS,1581813508,88,26.62,-78.28,69.8,13.87
410,Kiruna,40,SE,1581813508,85,67.86,20.23,10.4,1.12
411,Rakiv Lis,0,UA,1581813508,81,51.62,24.92,32.25,8.23
412,Tokmak,15,UA,1581813508,83,47.25,35.71,27.66,6.46
413,Popondetta,59,PG,1581813508,62,-8.75,148.25,84.49,3.76
414,Alenquer,20,BR,1581813508,83,-1.94,-54.74,77.0,3.36
415,Kalemie,96,CD,1581813509,91,-5.95,29.19,65.88,1.83
416,Hervey Bay,40,AU,1581813509,58,-25.3,152.85,90.0,9.17
417,Carutapera,98,BR,1581813509,76,-1.2,-46.02,81.45,6.85
418,La Rioja,23,ES,1581813509,93,42.25,-2.5,43.0,1.12
419,Mananjary,100,MG,1581813509,85,-21.22,48.33,76.66,2.17
420,Linares,0,CL,1581813509,37,-35.85,-71.6,69.66,6.46
421,Purranque,75,CL,1581813509,100,-40.92,-73.17,57.2,4.7
422,Charters Towers,17,AU,1581813509,50,-20.1,146.27,90.48,6.8
423,Zhanaozen,100,KZ,1581813509,76,43.3,52.8,32.16,8.37
424,Zhezkazgan,100,KZ,1581813510,95,47.8,67.71,23.92,11.23
425,Barra de Tecoanapa,0,MX,1581813510,59,16.52,-98.75,83.41,6.35
426,Padang,100,ID,1581813510,88,-0.95,100.35,66.92,3.53
427,Morondava,100,MG,1581813510,90,-20.28,44.28,75.38,3.47
428,Mahon,0,ES,1581813316,87,39.89,4.27,55.4,5.82
429,Watsa,83,CD,1581813510,51,3.04,29.54,72.43,1.05
430,Vilela,80,PT,1581813510,88,41.23,-7.6,54.0,7.09
431,Pedra Azul,31,BR,1581813510,91,-16.01,-41.3,67.39,3.04
432,Yanam,5,IN,1581813510,96,16.73,82.22,66.94,1.3
433,Ternate,18,ID,1581813511,78,0.8,127.4,80.91,1.59
434,Ikungi,55,TZ,1581813511,97,-5.13,34.77,60.08,2.33
435,Kolokani,81,ML,1581813511,12,13.57,-8.03,74.68,7.85
436,Katsuura,75,JP,1581813511,81,35.13,140.3,51.01,6.93
437,Sampit,100,ID,1581813511,96,-2.53,112.95,76.55,2.08
438,Sholokhove,17,UA,1581813511,91,47.69,34.03,32.68,6.4
439,Pacific Grove,1,US,1581813511,67,36.62,-121.92,66.0,10.29
440,Kilindoni,84,TZ,1581813512,78,-7.91,39.67,82.99,10.4
441,Toamasina,75,MG,1581813512,100,-18.17,49.38,75.2,4.7
442,Trofors,66,NO,1581813512,48,65.53,13.41,42.8,26.4
443,Petropavlovsk-Kamchatsky,81,RU,1581813512,50,53.05,158.65,30.2,15.66
444,Leningradskiy,92,RU,1581813512,93,69.38,178.42,-17.1,9.8
445,Nioro,89,GM,1581813512,14,13.35,-15.75,82.33,9.4
446,Chalisgaon,0,IN,1581813512,46,20.47,75.02,65.84,1.01
447,Dorado,20,PR,1581813513,83,18.46,-66.27,79.0,8.05
448,Palmer,40,US,1581813513,41,42.16,-72.33,25.0,13.87
449,Krasnomayskiy,100,RU,1581813513,82,57.62,34.41,30.67,9.64
450,Cilegon,40,ID,1581813513,83,-6.02,106.05,78.8,4.7
451,Jiexiu,0,CN,1581813513,27,37.02,111.91,16.2,11.12
452,Egvekinot,100,RU,1581813514,88,66.32,-179.17,-13.02,18.79
453,Taltal,97,CL,1581813514,89,-25.4,-70.48,63.14,1.88
454,Kiryat Gat,75,IL,1581813514,93,31.61,34.76,57.2,1.12
455,Tatishchevo,83,RU,1581813514,84,51.67,45.6,30.0,4.25
456,Zhaotong,98,CN,1581813514,79,27.32,103.72,22.42,2.28
457,Khovd,33,MN,1581813514,93,48.01,91.64,-3.1,1.39
458,Jurm,75,AF,1581813514,58,36.86,70.83,5.68,9.53
459,Krasnopillya,100,UA,1581813514,97,50.77,35.26,31.95,7.2
460,Kloulklubed,75,PW,1581813240,74,7.04,134.26,82.4,9.17
461,Trinidad,20,BO,1581813443,74,-14.83,-64.9,87.8,5.82
462,Mayahi,0,NE,1581813515,11,13.96,7.67,66.42,10.49
463,Matara,9,LK,1581813515,85,5.95,80.54,73.42,7.72
464,Jacareacanga,22,BR,1581813515,89,-6.22,-57.75,75.76,1.03
465,Venice,90,US,1581813515,78,27.1,-82.45,75.99,4.7
466,Icod de los Vinos,3,ES,1581813515,87,28.37,-16.71,66.0,2.24
467,Sinnamary,75,GF,1581813515,83,5.38,-52.95,79.14,14.12
468,Monrovia,40,LR,1581813516,94,6.3,-10.8,77.0,5.28
469,Pyaozerskiy,100,RU,1581813516,94,65.83,31.17,28.06,8.55
470,Nome,90,US,1581813319,46,64.5,-165.41,6.8,14.99
471,Ndioum,85,SN,1581813516,20,16.51,-14.65,84.2,2.24
472,Pacifica,1,US,1581813516,82,37.61,-122.49,66.2,8.05
473,Nola,0,IT,1581813516,52,40.92,14.53,54.0,5.82
474,Malbork,42,PL,1581813516,80,54.04,19.03,42.01,17.22
475,Kindu,100,CD,1581813516,98,-2.95,25.95,70.03,2.77
476,Chanal,20,MX,1581813517,61,16.72,-92.4,77.0,19.46
477,Jiuquan,98,CN,1581813517,30,39.74,98.52,14.54,1.43
478,Teguise,20,ES,1581813517,77,29.06,-13.56,60.8,9.17
479,Batagay,82,RU,1581813517,78,67.63,134.63,-21.05,4.47
480,Totskoye,58,RU,1581813517,99,52.52,52.76,2.44,1.86
481,Biak,35,ID,1581813517,77,-0.91,122.88,81.27,4.36
482,Noumea,90,NC,1581813517,62,-22.28,166.46,87.01,6.93
483,Anupshahr,0,IN,1581813517,58,28.37,78.27,51.66,5.68
484,Kontagora,0,NG,1581813517,12,10.4,5.47,74.12,7.76
485,Kudahuvadhoo,59,MV,1581813521,79,2.67,72.89,82.58,11.59
486,Vuktyl,94,RU,1581813521,94,63.86,57.31,13.24,7.56
487,Fuxin,100,CN,1581813521,53,42.02,121.66,14.41,24.38
488,Muhafazat Lahij,20,YE,1581813521,74,13.17,44.58,69.33,10.22
489,Champasak,20,LA,1581813521,70,14.75,106.0,71.46,1.99
490,Boa Vista,0,BR,1581813415,45,2.82,-60.67,87.8,6.93
491,Svetlogorsk,50,BY,1581813521,90,52.63,29.73,31.64,6.46
492,Salalah,0,OM,1581813521,20,17.02,54.09,68.0,8.05
493,Mpanda,100,TZ,1581813522,98,-6.37,31.04,65.64,1.07
494,Nago,40,JP,1581813522,64,26.59,127.98,75.2,18.34
495,Samarai,43,PG,1581813523,55,-10.62,150.67,87.33,5.44
496,Denpasar,40,ID,1581813487,94,-8.65,115.22,80.6,3.36
497,Wanning,58,CN,1581813523,82,18.8,110.4,68.67,12.97
498,Sola,90,VU,1581813523,88,-13.88,167.55,82.4,4.7
499,Bonavista,83,CA,1581813523,69,48.65,-53.11,15.01,20.0
500,Ulaanbaatar,0,MN,1581813317,68,47.91,106.88,-16.6,4.47
501,Sovetskiy,100,RU,1581813524,95,61.36,63.58,14.99,4.0
502,Peddapuram,0,IN,1581813524,87,17.08,82.13,67.86,1.07
503,Aksu,92,CN,1581813524,39,41.12,80.26,26.74,4.03
504,Beroroha,64,MG,1581813524,83,-21.67,45.17,74.53,4.03
505,Volksrust,12,ZA,1581813524,61,-27.37,29.88,55.63,3.98
506,Marzuq,39,YE,1581813524,34,14.4,46.47,56.68,1.19
507,Dallas,75,US,1581813524,59,32.77,-96.78,61.0,17.22
508,Glebychevo,100,RU,1581813524,94,60.44,28.72,33.01,20.0
509,Varzelandia,21,BR,1581813525,88,-15.7,-44.03,71.67,2.64
510,Alta Floresta,63,BR,1581813525,89,-9.88,-56.09,73.92,1.28
511,Kruisfontein,66,ZA,1581813525,65,-34.0,24.73,77.16,4.97
512,Pontianak,75,ID,1581813281,94,-0.03,109.33,77.0,4.7
513,Sorland,50,NO,1581813525,79,67.67,12.69,40.68,15.79
514,Evensk,27,RU,1581813525,78,61.95,159.23,-7.15,17.85
515,Hamilton,1,US,1581813447,38,39.18,-84.53,41.0,6.93
516,Wewak,94,PG,1581813525,78,-3.55,143.63,82.09,6.22
517,Sangmelima,42,CM,1581813525,92,2.93,11.98,68.45,2.39
518,Mayo,1,US,1581813526,50,38.89,-76.51,33.01,6.93
519,Vila,75,PT,1581813526,93,42.03,-8.16,62.01,18.34
520,El Penon,84,CO,1581813526,41,8.99,-73.95,88.12,1.54
521,San Andres,20,CO,1581813477,78,12.58,-81.7,80.6,16.11
522,Bemidji,1,US,1581813328,66,47.47,-94.88,17.6,16.11
523,Northam,100,GB,1581813526,92,51.03,-4.22,55.99,20.0
524,Banda Aceh,100,ID,1581813526,95,5.56,95.32,73.26,3.87
525,Charlottesville,1,US,1581813467,50,38.03,-78.48,32.0,3.36
526,Aguada de Pasajeros,37,CU,1581813526,57,22.39,-80.85,78.8,10.29
527,Los Llanos de Aridane,90,ES,1581813526,72,28.66,-17.92,66.2,9.17
528,Tougue,13,GN,1581813527,13,11.47,-11.6,70.63,3.06
529,Saanen,83,CH,1581813527,69,46.49,7.26,46.0,4.7
530,Price,20,US,1581813336,38,39.6,-110.81,42.8,14.99
531,Canutama,97,BR,1581813530,96,-6.53,-64.38,75.52,0.51
532,The Valley,75,AI,1581813530,78,18.22,-63.06,78.8,12.75
533,Nuuk,100,GL,1581813530,85,64.18,-51.72,15.8,18.34
534,Sao Manuel,84,BR,1581813530,65,-22.73,-48.57,82.4,4.7
535,Tomohon,40,ID,1581813530,79,1.33,124.84,84.2,3.36
536,Ponta do Sol,20,PT,1581813531,77,32.67,-17.1,60.8,5.82
537,Srandakan,2,ID,1581813531,86,-7.94,110.25,77.4,2.13
538,Tessalit,97,ML,1581813531,9,20.2,1.01,67.91,11.03
539,Shubarkuduk,90,KZ,1581813531,94,49.14,56.49,7.5,5.44
540,Puerto Escondido,40,MX,1581813531,84,15.85,-97.07,86.0,3.36
541,Maniitsoq,75,GL,1581813531,85,65.42,-52.9,13.05,15.23
542,Perth,20,AU,1581813495,60,-31.93,115.83,72.0,14.99
543,Atherton,100,GB,1581813532,93,53.52,-2.49,51.01,9.17
544,El Carmen,78,CO,1581813532,64,8.51,-73.45,74.46,6.2
545,Erdenet,0,MN,1581813532,65,49.03,104.08,3.06,3.56
546,Carballo,40,ES,1581813532,77,43.21,-8.69,60.01,25.28
547,Mbour,100,SN,1581813532,57,14.42,-16.96,75.2,13.87
548,Farafangana,35,MG,1581813532,75,-22.82,47.83,81.68,5.91
549,Oktyabrskoye,91,RU,1581813532,81,43.06,44.74,23.67,0.98
550,Pokaran,0,IN,1581813532,19,26.92,71.92,63.88,2.24
551,Krutinka,92,RU,1581813533,96,56.01,71.51,12.09,3.22
552,Stornoway,98,GB,1581813533,80,58.21,-6.39,42.01,24.16
553,Cazones de Herrera,40,MX,1581813533,69,20.72,-97.32,75.2,5.82
554,Amapa,48,BR,1581813533,96,1.0,-52.0,73.69,3.62
555,Norton Shores,90,US,1581813533,69,43.17,-86.26,33.8,16.11
556,Barsovo,90,RU,1581813533,92,61.17,73.17,17.6,8.95
557,Luganville,90,VU,1581813533,74,-15.53,167.17,84.2,13.87
558,Killybegs,100,IE,1581813533,77,54.63,-8.45,44.01,18.01
559,Bonthe,8,SL,1581813534,86,7.53,-12.51,78.62,6.82
560,Ketchikan,40,US,1581813534,80,55.34,-131.65,42.8,11.41
561,Qrendi,0,MT,1581813534,93,35.83,14.46,53.01,4.7
562,Katherine,61,AU,1581813534,58,-14.47,132.27,86.0,5.82
563,Klaksvik,100,FO,1581813534,59,62.23,-6.59,35.6,3.36
564,Talnakh,40,RU,1581813534,84,69.49,88.4,1.4,17.9
565,Sibu,75,MY,1581813534,88,2.3,111.82,77.0,4.7
566,Ilhabela,18,BR,1581813534,83,-23.78,-45.36,77.58,12.17
567,Pundaguitan,0,PH,1581813534,80,6.37,126.17,78.55,10.69
568,Tommot,43,RU,1581813535,91,58.96,126.29,-10.79,1.95
569,Kutum,0,SD,1581813535,27,14.2,24.67,56.01,4.56
